codigo	matricula	fecha_matriculacion	marca	modelo	tipo	variante	clasificacion_medioambiental	combustible	cilindrada	potencia	numero_plazas	fecha_inicio_prestacion_servicio	eurotaxi	regimen_especial_eurotaxi	fecha_ini_reg_esp_eur	fecha_fin_reg_esp_eur	fecha_informe	
1160163	1620GRK	2009-10-28	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-10-29	FALSE	FALSE			2018-11-03	
1160270	6834GRJ	2009-10-28	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-10-30	FALSE	FALSE			2018-11-03	
1160425	2857GRK	2009-10-28	SKODA	OCTAVIA	1Z	AABSEX01/NFM5********	C	GASOLINA TRANSFORMADO GLP	1595	75	5	2009-11-02	FALSE	FALSE			2018-11-03	
1160304	6799GRJ	2009-10-28	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-10-30	FALSE	FALSE			2018-11-03	
1160154	6869GRJ	2009-10-28	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-10-29	FALSE	FALSE			2018-11-03	
1160435	4900GRJ	2009-10-27	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-11-02	FALSE	FALSE			2018-11-03	
1160087	3287GRJ	2009-10-27	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-10-28	FALSE	FALSE			2018-11-03	
1160162	5352GRJ	2009-10-27	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-10-29	FALSE	FALSE			2018-11-03	
1160165	9539GRH	2009-10-26	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-10-29	FALSE	FALSE			2018-11-03	
1159901	1718GRH	2009-10-23	SKODA	SUPERB	3T	AABMPX01/NFM6*******	B	DIESEL	1968	103	5	2009-10-26	FALSE	FALSE			2018-11-03	
1160007	3527GRH	2009-10-23	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-10-27	FALSE	FALSE			2018-11-03	
1159892	3628GRH	2009-10-23	VOLKSWAGEN	JETTA	1KM	AACAYCX0/FM5********	B	DIESEL	1598	77	5	2009-10-26	FALSE	FALSE			2018-11-03	
